"","common_name","total_count","...1","list_ID","scientific_name","date","time","count","duration","location","latitude","longitude","count_tot","month","year"
"24","Common Grackle",5092,5665,"S17345055","Quiscalus quiscula",2014-03-07,08:20:00,6,55,"US-MO",38.6389068,-90.2853806,276,3,2014
"25","Common Grackle",5092,5666,"S17410868","Quiscalus quiscula",2014-03-12,08:20:00,11,45,"US-MO",38.6389068,-90.2853806,257,3,2014
"26","Common Grackle",5092,5667,"S17437862","Quiscalus quiscula",2014-03-14,08:00:00,35,60,"US-MO",38.6389068,-90.2853806,181,3,2014
"27","Common Grackle",5092,5668,"S17543272","Quiscalus quiscula",2014-03-20,09:20:00,11,80,"US-MO",38.6389068,-90.2853806,102,3,2014
"28","Common Grackle",5092,5669,"S17716042","Quiscalus quiscula",2014-04-02,16:00:00,35,40,"US-MO",38.6389068,-90.2853806,134,4,2014
"29","Common Grackle",5092,5670,"S17760108","Quiscalus quiscula",2014-04-05,18:00:00,26,30,"US-MO",38.6389068,-90.2853806,145,4,2014
"30","Common Grackle",5092,5671,"S17798169","Quiscalus quiscula",2014-04-07,18:00:00,21,45,"US-MO",38.6389068,-90.2853806,96,4,2014
"31","Common Grackle",5092,5672,"S17841108","Quiscalus quiscula",2014-04-11,09:30:00,15,60,"US-MO",38.6389068,-90.2853806,103,4,2014
"32","Common Grackle",5092,5673,"S17891506","Quiscalus quiscula",2014-04-14,09:00:00,12,90,"US-MO",38.6389068,-90.2853806,203,4,2014
"33","Common Grackle",5092,5674,"S17931688","Quiscalus quiscula",2014-04-17,08:00:00,25,120,"US-MO",38.6389068,-90.2853806,307,4,2014
"34","Common Grackle",5092,5675,"S17944532","Quiscalus quiscula",2014-04-18,08:45:00,12,10,"US-MO",38.6389068,-90.2853806,45,4,2014
"35","Common Grackle",5092,5676,"S18038666","Quiscalus quiscula",2014-04-22,18:30:00,8,75,"US-MO",38.6389068,-90.2853806,76,4,2014
"36","Common Grackle",5092,5677,"S18178852","Quiscalus quiscula",2014-05-02,08:15:00,15,60,"US-MO",38.6389068,-90.2853806,115,5,2014
"37","Common Grackle",5092,5678,"S20016034","Quiscalus quiscula",2014-10-03,08:45:00,2,45,"US-MO",38.6389068,-90.2853806,189,10,2014
"38","Common Grackle",5092,5679,"S22360906","Quiscalus quiscula",2015-03-15,09:00:00,15,120,"US-MO",38.6389068,-90.2853806,157,3,2015
"39","Common Grackle",5092,5680,"S23465605","Quiscalus quiscula",2015-05-15,18:30:00,15,30,"US-MO",38.6389068,-90.2853806,104,5,2015
"40","Common Grackle",5092,5681,"S29505290","Quiscalus quiscula",2016-05-08,13:30:00,10,90,"US-MO",38.6383932,-90.267979,43,5,2016
"41","Common Grackle",5092,5682,"S35533959","Quiscalus quiscula",2017-03-30,07:05:00,15,100,"US-MO",38.6389068,-90.2853806,283,3,2017
"42","Common Grackle",5092,5683,"S35654197","Quiscalus quiscula",2017-04-02,18:46:00,4,37,"US-MO",38.6389068,-90.2853806,36,4,2017
"43","Common Grackle",5092,5684,"S35698031","Quiscalus quiscula",2017-04-04,07:00:00,30,127,"US-MO",38.6389068,-90.2853806,369,4,2017
"44","Common Grackle",5092,5685,"S35918417","Quiscalus quiscula",2017-04-13,06:59:00,10,109,"US-MO",38.6389068,-90.2853806,247,4,2017
"45","Common Grackle",5092,5686,"S36118134","Quiscalus quiscula",2017-04-20,07:00:00,10,98,"US-MO",38.6389068,-90.2853806,237,4,2017
"46","Common Grackle",5092,5687,"S36198905","Quiscalus quiscula",2017-04-23,08:13:00,3,173,"US-MO",38.6389068,-90.2853806,137,4,2017
"47","Common Grackle",5092,5688,"S36305628","Quiscalus quiscula",2017-04-27,06:56:00,20,121,"US-MO",38.6389068,-90.2853806,260,4,2017
"48","Common Grackle",5092,5689,"S36497526","Quiscalus quiscula",2017-05-02,18:56:00,6,58,"US-MO",38.6389068,-90.2853806,40,5,2017
"49","Common Grackle",5092,5690,"S36840525","Quiscalus quiscula",2017-05-13,18:00:00,4,45,"US-MO",38.6389068,-90.2853806,114,5,2017
"50","Common Grackle",5092,5691,"S36956314","Quiscalus quiscula",2017-05-18,07:04:00,6,126,"US-MO",38.6389068,-90.2853806,140,5,2017
"51","Common Grackle",5092,5692,"S37297406","Quiscalus quiscula",2017-05-31,18:29:00,3,61,"US-MO",38.6389068,-90.2853806,70,5,2017
"52","Common Grackle",5092,5693,"S37374545","Quiscalus quiscula",2017-06-04,07:53:00,12,118,"US-MO",38.6389068,-90.2853806,108,6,2017
"53","Common Grackle",5092,5694,"S39363513","Quiscalus quiscula",2017-09-24,08:30:00,2,101,"US-MO",38.6389068,-90.2853806,45,9,2017
"54","Common Grackle",5092,5695,"S40682155","Quiscalus quiscula",2017-11-23,09:58:00,1,134,"US-MO",38.6389068,-90.2853806,71,11,2017
"55","Common Grackle",5092,5696,"S44103398","Quiscalus quiscula",2018-03-30,19:12:00,12,32,"US-MO",38.6389068,-90.2853806,104,3,2018
"56","Common Grackle",5092,5697,"S49551085","Quiscalus quiscula",2018-10-25,13:30:00,1,70,"US-MO",38.6389068,-90.2853806,63,10,2018
"57","Common Grackle",5092,5698,"S56350152","Quiscalus quiscula",2019-05-16,09:24:00,2,102,"US-MO",38.6389068,-90.2853806,85,5,2019
"58","Common Grackle",5092,5699,"S89689436","Quiscalus quiscula",2021-06-05,17:55:00,1,85,"US-MO",38.6383932,-90.267979,56,6,2021
"59","Common Grackle",5092,5700,"S89715685","Quiscalus quiscula",2021-06-06,08:01:00,3,74,"US-MO",38.6389068,-90.2853806,57,6,2021
"60","Common Grackle",5092,5701,"S17750325","Quiscalus quiscula",2014-04-05,07:45:00,2,120,"US-MO",38.636316,-90.296545,126,4,2014
"61","Common Grackle",5092,5702,"S17836663","Quiscalus quiscula",2014-04-10,08:30:00,4,120,"US-MO",38.636316,-90.296545,87,4,2014
"62","Common Grackle",5092,5703,"S19755048","Quiscalus quiscula",2014-09-06,17:00:00,35,60,"US-MO",38.636316,-90.296545,84,9,2014
"63","Common Grackle",5092,5704,"S19761146","Quiscalus quiscula",2014-09-07,08:30:00,6,180,"US-MO",38.636316,-90.296545,105,9,2014
"64","Common Grackle",5092,5705,"S19893404","Quiscalus quiscula",2014-09-21,07:45:00,1,120,"US-MO",38.636316,-90.296545,149,9,2014
"65","Common Grackle",5092,5706,"S43574572","Quiscalus quiscula",2018-03-11,18:08:00,9,64,"US-MO",38.636316,-90.296545,107,3,2018
"66","Common Grackle",5092,5707,"S13421647","Quiscalus quiscula",2013-03-16,14:00:00,7,0,"US-MO",38.6129807,-90.2593803,106,3,2013
"67","Common Grackle",5092,5708,"S17451952","Quiscalus quiscula",2014-03-15,15:45:00,15,80,"US-MO",38.6129807,-90.2593803,112,3,2014
"68","Common Grackle",5092,5709,"S17575595","Quiscalus quiscula",2014-03-23,15:30:00,30,90,"US-MO",38.6129807,-90.2593803,123,3,2014
"69","Common Grackle",5092,5710,"S22239405","Quiscalus quiscula",2015-03-08,11:45:00,2,120,"US-MO",38.6129807,-90.2593803,75,3,2015
"70","Common Grackle",5092,5711,"S37507879","Quiscalus quiscula",2017-06-10,08:50:00,10,90,"US-MO",38.6129807,-90.2593803,56,6,2017
"71","Common Grackle",5092,5712,"S43760440","Quiscalus quiscula",2018-03-18,15:54:00,5,71,"US-MO",38.6129807,-90.2593803,74,3,2018
"72","Common Grackle",5092,5713,"S44377158","Quiscalus quiscula",2018-04-08,16:11:00,4,62,"US-MO",38.6129807,-90.2593803,53,4,2018
"73","Common Grackle",5092,5714,"S45362421","Quiscalus quiscula",2018-05-06,09:35:00,16,134,"US-MO",38.6129807,-90.2593803,86,5,2018
"74","Common Grackle",5092,5715,"S17873207","Quiscalus quiscula",2014-04-13,10:45:00,34,150,"US-MO",38.6066358,-90.2582139,198,4,2014
"75","Common Grackle",5092,5716,"S19661218","Quiscalus quiscula",2014-09-01,09:00:00,3,120,"US-MO",38.6066358,-90.2582139,43,9,2014
"76","Common Grackle",5092,5717,"S36184977","Quiscalus quiscula",2017-04-22,18:16:00,1,88,"US-MO",38.6066358,-90.2582139,64,4,2017
"77","Common Grackle",5092,5718,"S36840529","Quiscalus quiscula",2017-05-13,19:00:00,3,90,"US-MO",38.6066358,-90.2582139,56,5,2017
"78","Common Grackle",5092,5719,"S37165903","Quiscalus quiscula",2017-05-26,18:09:00,9,69,"US-MO",38.6066358,-90.2582139,79,5,2017
"79","Common Grackle",5092,5720,"S45352298","Quiscalus quiscula",2018-05-06,08:05:00,2,50,"US-MO",38.6066358,-90.2582139,58,5,2018
"80","Common Grackle",5092,5721,"S65338838","Quiscalus quiscula",2020-03-01,16:23:00,1,38,"US-OK",36.152075,-95.9778614,49,3,2020
"81","Common Grackle",5092,5722,"S67289842","Quiscalus quiscula",2020-04-15,18:54:00,8,48,"US-OK",36.1441138,-95.9327686,43,4,2020
"82","Common Grackle",5092,5723,"S67472609","Quiscalus quiscula",2020-04-04,18:22:00,258,42,"US-OK",36.1436101,-95.9338497,387,4,2020
"83","Common Grackle",5092,5724,"S66184821","Quiscalus quiscula",2020-03-24,18:09:00,3000,58,"US-OK",36.1431952,-95.9334761,3154,3,2020
"84","Common Grackle",5092,5725,"S66295846","Quiscalus quiscula",2020-03-27,18:53:00,850,8,"US-OK",36.1431952,-95.9334761,887,3,2020
"85","Common Grackle",5092,5726,"S66844842","Quiscalus quiscula",2020-04-08,19:37:00,150,34,"US-OK",36.1431952,-95.9334761,176,4,2020
"86","Common Grackle",5092,5727,"S68524485","Quiscalus quiscula",2020-05-06,19:38:00,1,54,"US-OK",36.1431952,-95.9334761,27,5,2020
"87","Common Grackle",5092,5728,"S68032156","Quiscalus quiscula",2020-04-29,10:01:00,1,38,"US-OK",36.1433479,-95.9096313,43,4,2020
"88","Common Grackle",5092,5729,"S107970844","Quiscalus quiscula",2022-04-24,17:14:00,1,77,"US-OK",36.1255459,-95.9823976,105,4,2022
"89","Common Grackle",5092,5730,"S68032703","Quiscalus quiscula",2020-04-29,10:01:00,1,40,"US-OK",36.1444029,-95.9092834,44,4,2020
"90","Common Grackle",5092,5731,"S68152310","Quiscalus quiscula",2020-04-30,19:12:00,1,13,"US-OK",36.1514978,-95.9796871,33,4,2020
"91","Common Grackle",5092,5732,"S68100906","Quiscalus quiscula",2020-04-30,09:33:00,1,39,"US-OK",36.1501278,-95.8943009,59,4,2020
"92","Common Grackle",5092,5733,"S68187140","Quiscalus quiscula",2020-05-01,10:02:00,2,47,"US-OK",36.1501278,-95.8943009,33,5,2020
"93","Common Grackle",5092,5734,"S66369682","Quiscalus quiscula",2020-03-29,09:31:00,3,189,"US-OK",36.1497985,-96.2401081,219,3,2020
"94","Common Grackle",5092,5735,"S64885073","Quiscalus quiscula",2020-02-20,15:59:00,2,93,"US-OK",36.116064,-95.98525,200,2,2020
"95","Common Grackle",5092,5736,"S56470322","Quiscalus quiscula",2019-05-18,19:16:00,4,59,"US-OK",36.1301108,-95.9731293,47,5,2019
"96","Common Grackle",5092,5737,"S36872852","Quiscalus quiscula",2017-05-13,17:00:00,1,10,"US-MO",38.8269875,-91.054033,11,5,2017
"97","Common Grackle",5092,5738,"S36840493","Quiscalus quiscula",2017-05-13,09:00:00,4,10,"US-MO",38.8291565,-91.0498206,13,5,2017
"98","Canada Goose",2568,23,"S21177034","Branta canadensis",2015-01-03,14:00:00,4,90,"US-IL",39.924334,-91.4148653,11,1,2015
"99","Canada Goose",2568,24,"S37097000","Branta canadensis",2017-05-23,14:06:00,1,50,"US-VT",44.097019,-73.3420451,44,5,2017
"100","Canada Goose",2568,25,"S1740462","Branta canadensis",2004-10-05,17:00:00,2,0,"US-VT",43.7829965,-73.3154315,12,10,2004
"101","Canada Goose",2568,26,"S22598375","Branta canadensis",2015-03-30,16:30:00,65,30,"US-VT",43.7829965,-73.3154315,81,3,2015
"102","Canada Goose",2568,27,"S22635608","Branta canadensis",2015-04-01,16:30:00,2,20,"US-VT",43.7829965,-73.3154315,16,4,2015
"103","Canada Goose",2568,28,"S37075088","Branta canadensis",2017-05-22,18:17:00,1,9,"US-VT",43.7829965,-73.3154315,61,5,2017
"104","Canada Goose",2568,29,"S37111692","Branta canadensis",2017-05-24,09:29:00,2,42,"US-VT",43.7829965,-73.3154315,62,5,2017
"105","Canada Goose",2568,30,"S36840514","Branta canadensis",2017-05-13,10:40:00,30,275,"US-MO",38.8636,-92.4504,515,5,2017
"106","Canada Goose",2568,31,"S111728537","Branta canadensis",2022-05-30,08:08:00,12,302,"US-OK",36.850766,-102.8821564,100,5,2022
"107","Canada Goose",2568,32,"S87540889","Branta canadensis",2021-05-08,12:55:00,10,22,"US-OK",34.7112086,-98.6755943,41,5,2021
"108","Canada Goose",2568,33,"S44577908","Branta canadensis",2018-04-14,15:50:00,2,208,"US-MO",38.482151,-90.8242569,222,4,2018
"109","Canada Goose",2568,34,"S22866773","Branta canadensis",2015-04-14,06:30:00,2,150,"US-AZ",33.3607858,-111.9382811,47,4,2015
"110","Canada Goose",2568,35,"S1612893","Branta canadensis",2004-02-22,13:00:00,137,60,"US-CA",38.298008,-119.226204,224,2,2004
"111","Canada Goose",2568,36,"S1612884","Branta canadensis",2004-02-22,10:00:00,27,105,"US-CA",38.01634,-119.123795,43,2,2004
"112","Canada Goose",2568,37,"S100948655","Branta canadensis",2022-01-17,11:31:00,4,223,"US-OK",35.6222331,-95.1711273,69,1,2022
"113","Canada Goose",2568,38,"S54632771","Branta canadensis",2019-04-06,11:20:00,2,122,"US-OK",36.2081998,-96.0600758,40,4,2019
"114","Canada Goose",2568,39,"S69480437","Branta canadensis",2020-05-14,09:21:00,2,219,"US-OK",36.2081998,-96.0600758,97,5,2020
"115","Canada Goose",2568,40,"S80524373","Branta canadensis",2021-02-06,10:33:00,2,93,"US-OK",36.2081998,-96.0600758,58,2,2021
"116","Canada Goose",2568,41,"S90831933","Branta canadensis",2021-06-26,14:26:00,8,71,"US-OK",36.2081998,-96.0600758,48,6,2021
"117","Canada Goose",2568,42,"S103266888","Branta canadensis",2022-02-20,14:05:00,2,65,"US-OK",36.2081998,-96.0600758,29,2,2022
"118","Canada Goose",2568,43,"S41909811","Branta canadensis",2018-01-14,14:01:00,1,100,"US-MO",38.70534,-90.74048,227,1,2018
"119","Canada Goose",2568,44,"S56366335","Branta canadensis",2019-05-16,15:09:00,1,80,"US-MO",38.70534,-90.74048,46,5,2019
"120","Canada Goose",2568,45,"S20964481","Branta canadensis",2014-12-20,09:30:00,45,150,"US-MO",38.8719313,-90.1843917,469,12,2014
"121","Canada Goose",2568,46,"S40744474","Branta canadensis",2017-11-26,08:49:00,72,24,"US-MO",38.8719313,-90.1843917,223,11,2017
"122","Canada Goose",2568,47,"S36840484","Branta canadensis",2017-05-13,08:08:00,2,25,"US-MO",38.7055395,-90.7048416,44,5,2017
"123","Canada Goose",2568,48,"S36840463","Branta canadensis",2017-05-13,05:30:00,3,90,"US-MO",38.661,-90.758,79,5,2017
"124","Canada Goose",2568,49,"S43354053","Branta canadensis",2018-03-03,17:34:00,44,42,"US-MO",38.6228053,-90.344224,72,3,2018
"125","Canada Goose",2568,50,"S17855769","Branta canadensis",2014-04-12,08:45:00,2,120,"US-MO",38.690995,-90.2349186,200,4,2014
"126","Canada Goose",2568,51,"S21025538","Branta canadensis",2014-12-25,10:30:00,8,120,"US-MO",38.690995,-90.2349186,138,12,2014
"127","Canada Goose",2568,52,"S16771971","Branta canadensis",2014-02-02,16:00:00,178,30,"US-MO",38.5615895,-90.2653885,193,2,2014
"128","Canada Goose",2568,53,"S16536879","Branta canadensis",2014-01-27,14:30:00,70,45,"US-MO",38.6389068,-90.2853806,275,1,2014
"129","Canada Goose",2568,54,"S17223714","Branta canadensis",2014-02-27,08:40:00,56,45,"US-MO",38.6389068,-90.2853806,237,2,2014
"130","Canada Goose",2568,55,"S17294044","Branta canadensis",2014-03-04,08:15:00,30,45,"US-MO",38.6389068,-90.2853806,92,3,2014
"131","Canada Goose",2568,56,"S17334391","Branta canadensis",2014-03-06,08:20:00,8,55,"US-MO",38.6389068,-90.2853806,214,3,2014
"132","Canada Goose",2568,57,"S17345055","Branta canadensis",2014-03-07,08:20:00,38,55,"US-MO",38.6389068,-90.2853806,276,3,2014
"133","Canada Goose",2568,58,"S17377851","Branta canadensis",2014-03-09,15:45:00,40,80,"US-MO",38.6389068,-90.2853806,118,3,2014
"134","Canada Goose",2568,59,"S17410868","Branta canadensis",2014-03-12,08:20:00,24,45,"US-MO",38.6389068,-90.2853806,257,3,2014
"135","Canada Goose",2568,60,"S17437862","Branta canadensis",2014-03-14,08:00:00,12,60,"US-MO",38.6389068,-90.2853806,181,3,2014
"136","Canada Goose",2568,61,"S17543272","Branta canadensis",2014-03-20,09:20:00,7,80,"US-MO",38.6389068,-90.2853806,102,3,2014
"137","Canada Goose",2568,62,"S17701725","Branta canadensis",2014-04-01,18:30:00,8,25,"US-MO",38.6389068,-90.2853806,35,4,2014
"138","Canada Goose",2568,63,"S17716042","Branta canadensis",2014-04-02,16:00:00,2,40,"US-MO",38.6389068,-90.2853806,134,4,2014
"139","Canada Goose",2568,64,"S17760108","Branta canadensis",2014-04-05,18:00:00,4,30,"US-MO",38.6389068,-90.2853806,145,4,2014
"140","Canada Goose",2568,65,"S17798169","Branta canadensis",2014-04-07,18:00:00,4,45,"US-MO",38.6389068,-90.2853806,96,4,2014
"141","Canada Goose",2568,66,"S17841108","Branta canadensis",2014-04-11,09:30:00,4,60,"US-MO",38.6389068,-90.2853806,103,4,2014
"142","Canada Goose",2568,67,"S17891506","Branta canadensis",2014-04-14,09:00:00,6,90,"US-MO",38.6389068,-90.2853806,203,4,2014
"143","Canada Goose",2568,68,"S17931688","Branta canadensis",2014-04-17,08:00:00,12,120,"US-MO",38.6389068,-90.2853806,307,4,2014
"144","Canada Goose",2568,69,"S17944532","Branta canadensis",2014-04-18,08:45:00,2,10,"US-MO",38.6389068,-90.2853806,45,4,2014
"145","Canada Goose",2568,70,"S18044118","Branta canadensis",2014-04-23,12:00:00,8,45,"US-MO",38.6389068,-90.2853806,62,4,2014
"146","Canada Goose",2568,71,"S18178852","Branta canadensis",2014-05-02,08:15:00,5,60,"US-MO",38.6389068,-90.2853806,115,5,2014
"147","Canada Goose",2568,72,"S18284435","Branta canadensis",2014-05-08,08:20:00,5,90,"US-MO",38.6389068,-90.2853806,130,5,2014
"148","Canada Goose",2568,73,"S18310479","Branta canadensis",2014-05-09,18:00:00,4,60,"US-MO",38.6389068,-90.2853806,87,5,2014
"149","Canada Goose",2568,74,"S18346956","Branta canadensis",2014-05-11,18:30:00,6,60,"US-MO",38.6389068,-90.2853806,121,5,2014
"150","Canada Goose",2568,75,"S20974801","Branta canadensis",2014-12-21,09:15:00,20,165,"US-MO",38.6389068,-90.2853806,157,12,2014
"151","Canada Goose",2568,76,"S20987277","Branta canadensis",2014-12-22,09:30:00,6,60,"US-MO",38.6389068,-90.2853806,177,12,2014
"152","Canada Goose",2568,77,"S21095947","Branta canadensis",2014-12-31,08:00:00,134,120,"US-MO",38.6389068,-90.2853806,322,12,2014
"153","Canada Goose",2568,78,"S21145290","Branta canadensis",2015-01-02,09:00:00,91,5,"US-MO",38.6389068,-90.2853806,119,1,2015
"154","Canada Goose",2568,79,"S21322331","Branta canadensis",2015-01-12,09:20:00,145,30,"US-MO",38.6389068,-90.2853806,195,1,2015
"155","Canada Goose",2568,80,"S21350144","Branta canadensis",2015-01-14,02:30:00,40,60,"US-MO",38.6389068,-90.2853806,152,1,2015
"156","Canada Goose",2568,81,"S21419958","Branta canadensis",2015-01-19,08:30:00,4,0,"US-MO",38.6389068,-90.2853806,25,1,2015
"157","Canada Goose",2568,82,"S21499852","Branta canadensis",2015-01-22,10:30:00,24,30,"US-MO",38.6389068,-90.2853806,85,1,2015
"158","Canada Goose",2568,83,"S22257298","Branta canadensis",2015-03-09,13:00:00,6,20,"US-MO",38.6389068,-90.2853806,51,3,2015
"159","Canada Goose",2568,84,"S22360906","Branta canadensis",2015-03-15,09:00:00,18,120,"US-MO",38.6389068,-90.2853806,157,3,2015
"160","Canada Goose",2568,85,"S22387893","Branta canadensis",2015-03-16,18:00:00,6,30,"US-MO",38.6389068,-90.2853806,35,3,2015
"161","Canada Goose",2568,86,"S22729778","Branta canadensis",2015-04-06,18:30:00,5,45,"US-MO",38.6389068,-90.2853806,44,4,2015
"162","Canada Goose",2568,87,"S22776681","Branta canadensis",2015-04-09,18:20:00,6,25,"US-MO",38.6389068,-90.2853806,42,4,2015
"163","Canada Goose",2568,88,"S23140528","Branta canadensis",2015-04-30,07:00:00,10,105,"US-MO",38.6389068,-90.2853806,150,4,2015
"164","Canada Goose",2568,89,"S23471799","Branta canadensis",2015-05-13,08:00:00,4,120,"US-MO",38.6389068,-90.2853806,81,5,2015
"165","Canada Goose",2568,90,"S23465605","Branta canadensis",2015-05-15,18:30:00,4,30,"US-MO",38.6389068,-90.2853806,104,5,2015
"166","Canada Goose",2568,91,"S33616660","Branta canadensis",2017-01-12,07:00:00,100,90,"US-MO",38.6389068,-90.2853806,272,1,2017
"167","Canada Goose",2568,92,"S33780633","Branta canadensis",2017-01-19,07:01:00,145,56,"US-MO",38.6389068,-90.2853806,240,1,2017
"168","Canada Goose",2568,93,"S33809874","Branta canadensis",2017-01-20,16:26:00,74,59,"US-MO",38.6389068,-90.2853806,188,1,2017
"169","Canada Goose",2568,94,"S35533959","Branta canadensis",2017-03-30,07:05:00,10,100,"US-MO",38.6389068,-90.2853806,283,3,2017
"170","Canada Goose",2568,95,"S35594469","Branta canadensis",2017-03-31,17:47:00,2,80,"US-MO",38.6389068,-90.2853806,84,3,2017
"171","Canada Goose",2568,96,"S35698031","Branta canadensis",2017-04-04,07:00:00,12,127,"US-MO",38.6389068,-90.2853806,369,4,2017
"172","Canada Goose",2568,97,"S35811314","Branta canadensis",2017-04-09,07:47:00,2,74,"US-MO",38.6389068,-90.2853806,51,4,2017
"173","Canada Goose",2568,98,"S35918417","Branta canadensis",2017-04-13,06:59:00,10,109,"US-MO",38.6389068,-90.2853806,247,4,2017
"174","Canada Goose",2568,99,"S36118134","Branta canadensis",2017-04-20,07:00:00,16,98,"US-MO",38.6389068,-90.2853806,237,4,2017
"175","Canada Goose",2568,100,"S36198905","Branta canadensis",2017-04-23,08:13:00,2,173,"US-MO",38.6389068,-90.2853806,137,4,2017
"176","Canada Goose",2568,101,"S36305628","Branta canadensis",2017-04-27,06:56:00,10,121,"US-MO",38.6389068,-90.2853806,260,4,2017
"177","Canada Goose",2568,102,"S36310000","Branta canadensis",2017-04-27,11:46:00,2,41,"US-MO",38.6389068,-90.2853806,21,4,2017
"178","Canada Goose",2568,103,"S36497526","Branta canadensis",2017-05-02,18:56:00,1,58,"US-MO",38.6389068,-90.2853806,40,5,2017
"179","Canada Goose",2568,104,"S36840525","Branta canadensis",2017-05-13,18:00:00,20,45,"US-MO",38.6389068,-90.2853806,114,5,2017
"180","Canada Goose",2568,105,"S36956314","Branta canadensis",2017-05-18,07:04:00,4,126,"US-MO",38.6389068,-90.2853806,140,5,2017
"181","Canada Goose",2568,106,"S37374545","Branta canadensis",2017-06-04,07:53:00,16,118,"US-MO",38.6389068,-90.2853806,108,6,2017
"182","Canada Goose",2568,107,"S38541052","Branta canadensis",2017-08-08,07:05:00,11,85,"US-MO",38.6389068,-90.2853806,281,8,2017
"183","Canada Goose",2568,108,"S42135357","Branta canadensis",2018-01-21,13:37:00,145,127,"US-MO",38.6389068,-90.2853806,275,1,2018
"184","Canada Goose",2568,109,"S44103398","Branta canadensis",2018-03-30,19:12:00,11,32,"US-MO",38.6389068,-90.2853806,104,3,2018
"185","Canada Goose",2568,110,"S45158368","Branta canadensis",2018-05-01,18:23:00,2,86,"US-MO",38.6389068,-90.2853806,67,5,2018
"186","Canada Goose",2568,111,"S45233334","Branta canadensis",2018-05-03,13:54:00,1,55,"US-MO",38.6389068,-90.2853806,55,5,2018
"187","Canada Goose",2568,112,"S89689436","Branta canadensis",2021-06-05,17:55:00,1,85,"US-MO",38.6383932,-90.267979,56,6,2021
"188","Canada Goose",2568,113,"S89715685","Branta canadensis",2021-06-06,08:01:00,10,74,"US-MO",38.6389068,-90.2853806,57,6,2021
